repetition,seed,dataset,task,model,encoder,training mode,augmentation,loss,input_size,epochs,batch_size,dice_background_test,dice_foreground_test,mDice_test,iou_background_test,iou_foreground_test,mIoU_test,precision_foreground_test,recall_foreground_test,num_params,trainable_params,gflops,best_epoch,val_mDice_best
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.9054408143548405,0.759990023339496,0.832715420600246,0.830531557693201,0.6213221613536862,0.7259268602904152,0.7990532898727585,0.7379859528120827,24436369,24436369,7.8359,40,0.8354077754598676
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.9056117254145005,0.7583561800420284,0.8319839537143707,0.8305500745773315,0.6193566160166964,0.724953347707496,0.8003255619722254,0.7342167974394911,24436369,24436369,7.8359,36,0.8386764110940875
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,BCE,256x256,50,8,0.9063303304069182,0.7646262606277185,0.8354782996808782,0.8317892025498783,0.6272203177213669,0.7295047623269698,0.7951130858239006,0.7493431392837974,24436369,24436369,7.8359,36,0.8408825993537903
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.9055725958417443,0.7592809467631227,0.8324267697684905,0.8304777228656937,0.621020729708321,0.7257492288070566,0.8013144810410107,0.7367899133002057,24436369,24436369,7.8359,12,0.8404207735350637
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.9025722540476743,0.7590555520180393,0.8308139027041548,0.8253231837468988,0.6196508214754217,0.7224869973519269,0.7792873689356972,0.7529625425882199,24436369,24436369,7.8359,19,0.8364307338541205
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,BCE,256x256,50,8,0.906600642730208,0.757917380946524,0.832259010304423,0.8321949843974674,0.6211225986480713,0.7266587895505568,0.8029756887870676,0.7372276002869886,24436369,24436369,7.8359,18,0.8374449628772158
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.9019919186830521,0.7792403193957665,0.8406161183820051,0.8252559948493453,0.6451271809637547,0.7351915888926562,0.760479995433022,0.811811159200528,24436369,24436369,7.8359,44,0.839479897961472
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.8993618575965657,0.7758491346064735,0.8376054939101724,0.8218095924924401,0.6401579270468039,0.7309837604270262,0.7608175970175687,0.8058441259405192,24436369,24436369,7.8359,34,0.8380153088858633
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,True,DICE,256x256,50,8,0.8980504397083732,0.7759827844360295,0.8370166114147972,0.8199215575176126,0.6407972024205852,0.73035938117434,0.7567913913551498,0.8107206505887649,24436369,24436369,7.8359,28,0.8383460749279369
1,42,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.9050115522216348,0.7724395107258769,0.8387255339938051,0.8294441103935242,0.6390927429584896,0.7342684277716804,0.7716550331781892,0.7889684754259446,24436369,24436369,7.8359,25,0.8444870638124871
1,123,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.902694475124864,0.7751984464771607,0.8389464612392818,0.8267365746638354,0.640566610457266,0.7336515893830973,0.7704966318081407,0.793140256229569,24436369,24436369,7.8359,17,0.8412970232241082
1,2025,OEDB,segmentacao_binaria,UNetClassica,resnet34,FS,False,DICE,256x256,50,8,0.9023665067027596,0.7733743843786857,0.8378704479512047,0.8262626094853177,0.638972119154299,0.7326173602658159,0.7725519082125496,0.7889380459399784,24436369,24436369,7.8359,31,0.8389995748346503
